,0,1,2,3,4
cuat,53.0,15.0,20.0,21.0,19.0
MATERIA,24.0,2.0,8.0,2.0,6.0
extranjero,108.0,9.0,13.0,14.0,19.0
prom_edad,634.0,95.0,189.0,63.0,90.0
n_alum,528.0,79.0,144.0,40.0,91.0
p_ext,585.0,81.0,167.0,43.0,95.0
recurso,263.0,32.0,52.0,31.0,44.0
p_recursa,548.0,104.0,181.0,48.0,97.0
abandona1_p,640.0,102.0,170.0,75.0,113.0
SEDE_1,25.0,6.0,4.0,7.0,5.0
SEDE_10,26.0,10.0,13.0,10.0,5.0
SEDE_14,11.0,4.0,6.0,5.0,5.0
SEDE_15,1.0,1.0,1.0,,1.0
SEDE_2,24.0,6.0,7.0,4.0,8.0
SEDE_21,4.0,,,,1.0
SEDE_28,10.0,4.0,5.0,6.0,5.0
SEDE_30,1.0,,1.0,,1.0
SEDE_31,4.0,,2.0,,2.0
SEDE_32,4.0,2.0,6.0,,2.0
SEDE_33,3.0,,1.0,,
SEDE_34,1.0,,,,
SEDE_39,8.0,2.0,2.0,3.0,5.0
SEDE_4,28.0,3.0,5.0,4.0,9.0
SEDE_5,40.0,2.0,9.0,2.0,3.0
SEDE_6,32.0,4.0,14.0,4.0,4.0
turno_A,44.0,5.0,14.0,2.0,5.0
turno_B,34.0,1.0,7.0,1.0,3.0
turno_C,49.0,6.0,11.0,3.0,5.0
turno_D,19.0,1.0,3.0,3.0,2.0
edad_1,4.0,,4.0,,1.0
edad_2,35.0,2.0,2.0,,
edad_3,102.0,8.0,16.0,10.0,11.0
edad_4,67.0,2.0,1.0,3.0,7.0
edad_5,16.0,1.0,3.0,,4.0
edad_6,4.0,1.0,4.0,,2.0
edad_7,3.0,,,,1.0
edad_8,1.0,,,,1.0
edad_9,1.0,,,,
codCarrera_1,2.0,,,,
codCarrera_4,5.0,2.0,2.0,1.0,2.0
codCarrera_5,8.0,4.0,7.0,8.0,10.0
codCarrera_9,30.0,5.0,9.0,5.0,9.0
codCarrera_11,29.0,2.0,2.0,,3.0
codCarrera_12,19.0,3.0,6.0,,4.0
codCarrera_14,22.0,5.0,12.0,7.0,8.0
codCarrera_15,5.0,3.0,3.0,2.0,3.0
codCarrera_16,15.0,4.0,7.0,4.0,8.0
codCarrera_17,6.0,1.0,3.0,1.0,6.0
codCarrera_18,8.0,2.0,4.0,,4.0
codCarrera_19,2.0,,,,1.0
codCarrera_20,15.0,1.0,3.0,,2.0
codCarrera_22,6.0,1.0,1.0,,
codCarrera_26,16.0,2.0,4.0,,1.0
codCarrera_28,20.0,4.0,5.0,1.0,2.0
codCarrera_29,3.0,2.0,3.0,,
codCarrera_30,22.0,7.0,7.0,9.0,9.0
codCarrera_31,3.0,,,,1.0
codCarrera_32,15.0,3.0,5.0,3.0,2.0
codCarrera_33,29.0,1.0,1.0,,
codCarrera_34,3.0,,,,2.0
codCarrera_37,2.0,,,,1.0
codCarrera_39,77.0,10.0,14.0,10.0,14.0
codCarrera_40,37.0,1.0,4.0,1.0,4.0
codCarrera_41,27.0,4.0,3.0,5.0,6.0
codCarrera_42,2.0,,,,
codCarrera_45,39.0,7.0,9.0,8.0,8.0
codCarrera_46,11.0,3.0,5.0,5.0,6.0
codCarrera_47,3.0,1.0,2.0,,2.0
codCarrera_61,4.0,,,,
codCarrera_65,1.0,,1.0,,
codCarrera_67,5.0,,2.0,,2.0
codCarrera_77,1.0,,,,1.0
codCarrera_90,44.0,2.0,4.0,4.0,4.0
codCarrera_95,7.0,2.0,5.0,2.0,4.0
codCarrera_97,8.0,2.0,4.0,,2.0
codCarrera_99,26.0,9.0,14.0,11.0,8.0
codCarrera_124,5.0,,2.0,,3.0
codCarrera_132,14.0,6.0,9.0,10.0,10.0
codCarrera_133,7.0,3.0,5.0,1.0,4.0
codCarrera_135,5.0,2.0,2.0,,3.0
codCarrera_999,63.0,10.0,20.0,12.0,14.0
facultad_AGRONOMIA,19.0,5.0,4.0,1.0,2.0
facultad_ARQUITECTURA Y URBANISMO,4.0,,2.0,,2.0
facultad_CIENCIAS ECONOMICAS,2.0,1.0,1.0,,
facultad_CIENCIAS SOCIALES,3.0,1.0,,,1.0
facultad_CIENCIAS VETERINARIAS,2.0,3.0,3.0,2.0,2.0
facultad_CS EXACTAS Y NATURALES,30.0,2.0,6.0,3.0,7.0
facultad_FARMACIA Y BIOQUIMICA,31.0,1.0,4.0,4.0,3.0
facultad_FILOSOFIA Y LETRAS,2.0,1.0,3.0,,
facultad_INGENIERIA,35.0,4.0,6.0,5.0,5.0
facultad_MEDICINA,51.0,4.0,5.0,6.0,9.0
sala_0,6.0,,,,
sala_1,8.0,,,,
sala_2,1.0,,,,
sala_4,15.0,3.0,6.0,,8.0
sala_5,18.0,4.0,2.0,3.0,4.0
sala_6,4.0,,4.0,1.0,2.0
sala_7,3.0,,3.0,,2.0
sala_8,2.0,,2.0,,1.0
sala_9,1.0,,2.0,,
sala_10,2.0,1.0,1.0,,1.0
sala_11,6.0,,1.0,,1.0
sala_12,6.0,,1.0,,2.0
sala_13,9.0,1.0,4.0,,2.0
sala_14,9.0,3.0,,,2.0
sala_15,26.0,4.0,3.0,1.0,3.0
sala_17,4.0,,2.0,,1.0
sala_18,8.0,,3.0,,1.0
sala_19,7.0,1.0,1.0,,
sala_20,6.0,1.0,1.0,,1.0
sala_21,22.0,2.0,2.0,,1.0
sala_22,11.0,,,,
sala_23,2.0,,,,2.0
sala_24,23.0,1.0,4.0,,3.0
sala_25,13.0,2.0,6.0,,1.0
sala_26,18.0,1.0,4.0,1.0,5.0
sala_27,18.0,4.0,7.0,3.0,5.0
sala_28,9.0,2.0,2.0,1.0,
sala_30,2.0,,1.0,,2.0
sala_31,6.0,2.0,5.0,1.0,2.0
sala_32,5.0,1.0,2.0,,3.0
sala_33,3.0,,3.0,,
sala_34,2.0,,,,1.0
sala_35,6.0,1.0,4.0,,2.0
sala_36,1.0,,,,
sala_37,7.0,2.0,3.0,,1.0
sala_38,8.0,2.0,3.0,2.0,3.0
sala_40,1.0,,,,
sala_43,5.0,2.0,2.0,1.0,1.0
sala_45,5.0,,4.0,,2.0
sala_46,1.0,,,,1.0
sala_47,8.0,4.0,5.0,1.0,3.0
sala_48,9.0,4.0,5.0,3.0,4.0
sala_51,1.0,,,,
sala_52,3.0,,1.0,,2.0
sala_53,1.0,1.0,2.0,,2.0
sala_54,9.0,,2.0,,2.0
sala_55,2.0,1.0,,1.0,2.0
sala_57,4.0,,1.0,,1.0
sala_58,7.0,4.0,5.0,2.0,5.0
sala_59,12.0,3.0,5.0,5.0,4.0
sala_60,5.0,2.0,3.0,,1.0
sala_61,2.0,1.0,,,2.0
sala_62,10.0,1.0,2.0,,
sala_63,2.0,3.0,1.0,,1.0
sala_64,2.0,1.0,,,
sala_65,6.0,1.0,,,
sala_66,4.0,,1.0,,
sala_67,1.0,,,,2.0
sala_70,1.0,1.0,3.0,,3.0
sala_71,8.0,1.0,2.0,1.0,1.0
sala_72,7.0,,2.0,,4.0
sala_73,2.0,1.0,,,
sala_74,7.0,1.0,2.0,,2.0
sala_75,3.0,,1.0,,
sala_76,4.0,1.0,1.0,,1.0
sala_78,18.0,3.0,5.0,,5.0
sala_79,4.0,,1.0,,3.0
sala_80,7.0,1.0,2.0,,1.0
sala_82,1.0,,2.0,,2.0
sala_83,12.0,7.0,5.0,3.0,3.0
sala_84,21.0,,9.0,,4.0
sala_85,6.0,2.0,,,3.0
sala_86,14.0,1.0,1.0,,2.0
sala_92,3.0,2.0,1.0,,3.0
sala_93,1.0,,3.0,,2.0
sala_94,11.0,3.0,4.0,,
sala_95,1.0,,,,
sala_99,1.0,,,,
sala_101,2.0,,,,1.0
sala_106,1.0,,,,
sala_107,6.0,1.0,,,2.0
sala_108,6.0,3.0,4.0,2.0,2.0
sala_109,3.0,1.0,2.0,,2.0
sala_110,1.0,,,,1.0
sala_111,5.0,,3.0,,3.0
sala_112,4.0,1.0,1.0,,
sala_113,3.0,1.0,,,1.0
sala_114,5.0,,,,
sala_120,2.0,,,,
sala_126,1.0,,2.0,,1.0
sala_127,1.0,,,,
sala_132,1.0,1.0,,1.0,1.0
sala_133,4.0,1.0,,,1.0
sala_134,3.0,2.0,4.0,2.0,3.0
sala_139,1.0,,,,
sala_144,2.0,1.0,,2.0,3.0
sala_145,1.0,,1.0,,1.0
sala_178,2.0,,,,
sala_179,1.0,,,,
sala_180,3.0,1.0,4.0,,2.0
